TongKetHocKyKey,SinhVienKey,KhoaKey,NganhKey,LopKey,HocKyKey,TongSoTinChiDangKy,TongSoTinChiDat,TongSoTinChiKhongDat,DiemTrungBinhHocKy,DiemTrungBinhTichLuy,DiemRenLuyen,XepLoaiHocTapKey,XepLoaiRenLuyenKey,CanhBaoKey,TrangThaiCanhBao,MucNguyCo,SoTinChiNoLuyKe,SoHocKyCanhBaoLienTiep
2039,370,1,2,6,7,11,11,0,3.0,3.02,66,3,3,1,Không cảnh báo,Trung bình,0,0
2040,370,1,2,6,8,10,10,0,3.1,3.03,82,3,2,1,Không cảnh báo,Thấp,0,0
2041,371,1,2,6,3,10,10,0,3.3,3.3,95,2,1,1,Không cảnh báo,Thấp,0,0
2042,371,1,2,6,4,11,11,0,3.27,3.29,89,2,2,1,Không cảnh báo,Thấp,0,0
2043,371,1,2,6,5,11,8,3,2.27,2.94,68,4,3,2,Cảnh báo nhẹ,Trung bình,3,1
2044,371,1,2,6,6,11,11,0,3.0,2.95,84,3,2,1,Không cảnh báo,Trung bình,3,0
2045,371,1,2,6,7,11,8,3,1.55,2.67,68,5,3,3,Cảnh báo trung bình,Trung bình,4,1
2046,371,1,2,6,8,10,8,2,2.9,2.7,78,3,3,1,Không cảnh báo,Trung bình,3,0
2047,372,1,2,6,3,10,8,2,2.6,2.6,86,3,2,1,Không cảnh báo,Thấp,2,0
2048,372,1,2,6,4,11,11,0,3.45,3.05,75,2,3,1,Không cảnh báo,Thấp,0,0
2049,372,1,2,6,5,11,11,0,3.45,3.19,64,2,4,1,Không cảnh báo,Trung bình,0,0
2050,372,1,2,6,6,11,11,0,3.27,3.21,78,2,3,1,Không cảnh báo,Thấp,0,0
2051,372,1,2,6,7,11,11,0,3.09,3.19,77,3,3,1,Không cảnh báo,Thấp,0,0
2052,372,1,2,6,8,10,10,0,2.9,3.14,72,3,3,1,Không cảnh báo,Thấp,0,0
2053,373,1,2,6,3,10,10,0,3.1,3.1,75,3,3,1,Không cảnh báo,Thấp,0,0
2054,373,1,2,6,4,11,11,0,2.82,2.95,78,3,3,1,Không cảnh báo,Thấp,0,0
2055,373,1,2,6,5,11,11,0,3.73,3.22,69,1,3,1,Không cảnh báo,Trung bình,0,0
2056,373,1,2,6,6,11,11,0,3.18,3.21,87,3,2,1,Không cảnh báo,Thấp,0,0
2057,373,1,2,6,7,11,11,0,3.09,3.19,82,3,2,1,Không cảnh báo,Thấp,0,0
2058,373,1,2,6,8,10,8,2,2.3,3.05,77,4,3,1,Không cảnh báo,Thấp,2,0
2059,374,1,2,6,3,10,10,0,3.0,3.0,93,3,1,1,Không cảnh báo,Thấp,0,0
2060,374,1,2,6,4,11,11,0,2.55,2.76,82,3,2,1,Không cảnh báo,Thấp,0,0
2061,374,1,2,6,5,11,11,0,3.45,3.0,73,2,3,1,Không cảnh báo,Thấp,0,0
2062,374,1,2,6,6,11,8,3,2.91,2.98,91,3,1,2,Cảnh báo nhẹ,Trung bình,3,1
2063,374,1,2,6,7,11,11,0,2.82,2.94,69,3,3,1,Không cảnh báo,Trung bình,1,0
2064,374,1,2,6,8,10,10,0,2.5,2.88,79,3,3,1,Không cảnh báo,Thấp,0,0
2065,375,1,2,6,3,10,7,3,2.4,2.4,73,4,3,2,Cảnh báo nhẹ,Trung bình,3,1
2066,375,1,2,6,4,11,11,0,3.18,2.81,83,3,2,1,Không cảnh báo,Thấp,0,0
2067,375,1,2,6,5,11,8,3,2.0,2.53,83,4,2,2,Cảnh báo nhẹ,Trung bình,3,1
2068,375,1,2,6,6,11,11,0,2.82,2.6,72,3,3,1,Không cảnh báo,Thấp,1,0
2069,375,1,2,6,7,11,11,0,3.27,2.74,80,2,2,1,Không cảnh báo,Thấp,0,0
2070,375,1,2,6,8,10,10,0,3.2,2.81,87,2,2,1,Không cảnh báo,Thấp,0,0
2071,376,1,2,6,3,10,10,0,3.7,3.7,81,1,2,1,Không cảnh báo,Thấp,0,0
2072,376,1,2,6,4,11,11,0,3.0,3.33,89,3,2,1,Không cảnh báo,Thấp,0,0
2073,376,1,2,6,5,11,11,0,2.73,3.12,71,3,3,1,Không cảnh báo,Thấp,0,0
2074,376,1,2,6,6,11,11,0,3.0,3.09,87,3,2,1,Không cảnh báo,Thấp,0,0
2075,376,1,2,6,7,11,11,0,2.73,3.02,75,3,3,1,Không cảnh báo,Thấp,0,0
2076,376,1,2,6,8,10,10,0,2.9,3.0,82,3,2,1,Không cảnh báo,Thấp,0,0
2077,377,1,2,6,3,10,10,0,3.8,3.8,79,1,3,1,Không cảnh báo,Thấp,0,0
2078,377,1,2,6,4,11,11,0,3.55,3.67,94,2,1,1,Không cảnh báo,Thấp,0,0
2079,377,1,2,6,5,11,11,0,3.18,3.5,73,3,3,1,Không cảnh báo,Thấp,0,0
2080,377,1,2,6,6,11,11,0,3.73,3.56,89,1,2,1,Không cảnh báo,Thấp,0,0
2081,377,1,2,6,7,11,11,0,2.73,3.39,76,3,3,1,Không cảnh báo,Thấp,0,0
2082,377,1,2,6,8,10,7,3,2.2,3.2,74,4,3,2,Cảnh báo nhẹ,Trung bình,3,1
2083,378,1,2,6,3,10,10,0,2.7,2.7,85,3,2,1,Không cảnh báo,Thấp,0,0
2084,378,1,2,6,4,11,11,0,3.0,2.86,83,3,2,1,Không cảnh báo,Thấp,0,0
2085,378,1,2,6,5,11,11,0,3.18,2.97,80,3,2,1,Không cảnh báo,Thấp,0,0
2086,378,1,2,6,6,11,11,0,3.36,3.07,91,2,1,1,Không cảnh báo,Thấp,0,0
2087,378,1,2,6,7,11,11,0,2.73,3.0,86,3,2,1,Không cảnh báo,Thấp,0,0
2088,378,1,2,6,8,10,10,0,2.6,2.94,68,3,3,1,Không cảnh báo,Trung bình,0,0
2089,379,1,2,6,3,10,8,2,2.7,2.7,92,3,1,1,Không cảnh báo,Thấp,2,0
2090,379,1,2,6,4,11,11,0,3.09,2.9,96,3,1,1,Không cảnh báo,Thấp,0,0
2091,379,1,2,6,5,11,11,0,3.55,3.12,77,2,3,1,Không cảnh báo,Thấp,0,0
2092,379,1,2,6,6,11,11,0,2.91,3.07,74,3,3,1,Không cảnh báo,Thấp,0,0
2093,379,1,2,6,7,11,11,0,2.55,2.96,70,3,3,1,Không cảnh báo,Thấp,0,0
2094,379,1,2,6,8,10,7,3,2.1,2.83,77,4,3,2,Cảnh báo nhẹ,Trung bình,3,1
2095,380,1,2,6,3,10,10,0,2.6,2.6,68,3,3,1,Không cảnh báo,Trung bình,0,0
2096,380,1,2,6,4,11,11,0,3.0,2.81,86,3,2,1,Không cảnh báo,Thấp,0,0
2097,380,1,2,6,5,11,9,2,2.73,2.78,75,3,3,1,Không cảnh báo,Thấp,2,0
2098,380,1,2,6,6,11,11,0,3.0,2.84,80,3,2,1,Không cảnh báo,Thấp,2,0
2099,380,1,2,6,7,11,11,0,2.45,2.76,74,4,3,1,Không cảnh báo,Thấp,0,0
2100,380,1,2,6,8,10,10,0,2.9,2.78,76,3,3,1,Không cảnh báo,Thấp,0,0
2101,381,1,2,6,3,10,10,0,3.5,3.5,84,2,2,1,Không cảnh báo,Thấp,0,0
2102,381,1,2,6,4,11,11,0,3.45,3.48,72,2,3,1,Không cảnh báo,Thấp,0,0
2103,381,1,2,6,5,11,11,0,3.27,3.41,97,2,1,1,Không cảnh báo,Thấp,0,0
2104,381,1,2,6,6,11,11,0,3.18,3.35,69,3,3,1,Không cảnh báo,Trung bình,0,0
2105,381,1,2,6,7,11,11,0,2.45,3.17,69,4,3,1,Không cảnh báo,Trung bình,0,0
2106,381,1,2,6,8,10,10,0,3.0,3.14,88,3,2,1,Không cảnh báo,Thấp,0,0
2107,382,1,2,6,3,10,10,0,3.2,3.2,83,2,2,1,Không cảnh báo,Thấp,0,0
2108,382,1,2,6,4,11,8,3,2.18,2.67,79,4,3,2,Cảnh báo nhẹ,Trung bình,3,1
2109,382,1,2,6,5,11,11,0,2.91,2.75,84,3,2,1,Không cảnh báo,Thấp,0,0
2110,382,1,2,6,6,11,11,0,3.27,2.88,69,2,3,1,Không cảnh báo,Trung bình,0,0
2111,382,1,2,6,7,11,11,0,3.0,2.91,80,3,2,1,Không cảnh báo,Thấp,0,0
2112,382,1,2,6,8,10,10,0,2.8,2.89,75,3,3,1,Không cảnh báo,Thấp,0,0
2113,383,1,2,6,3,10,8,2,2.4,2.4,78,4,3,1,Không cảnh báo,Trung bình,2,0
2114,383,1,2,6,4,11,6,5,1.91,2.14,74,5,3,2,Cảnh báo nhẹ,Trung bình,5,1
2115,383,1,2,6,5,11,6,5,1.64,1.97,74,5,3,3,Cảnh báo trung bình,Cao,10,2
2116,383,1,2,6,6,11,8,3,1.45,1.84,71,5,3,4,Cảnh báo nghiêm trọng,Cao,13,3
2117,383,1,2,6,7,11,11,0,2.55,1.98,76,3,3,2,Cảnh báo nhẹ,Cao,10,4
2118,383,1,2,6,8,10,7,3,1.9,1.97,77,5,3,2,Cảnh báo nhẹ,Cao,13,5
2119,384,1,2,6,3,10,10,0,2.9,2.9,74,3,3,1,Không cảnh báo,Thấp,0,0
2120,384,1,2,6,4,11,11,0,3.27,3.1,88,2,2,1,Không cảnh báo,Thấp,0,0
2121,384,1,2,6,5,11,9,2,2.18,2.78,77,4,3,1,Không cảnh báo,Thấp,2,0
2122,384,1,2,6,6,11,11,0,2.73,2.77,91,3,1,1,Không cảnh báo,Thấp,2,0
2123,384,1,2,6,7,11,11,0,3.09,2.83,82,3,2,1,Không cảnh báo,Thấp,2,0
2124,384,1,2,6,8,10,10,0,3.6,2.95,84,1,2,1,Không cảnh báo,Thấp,2,0
2125,385,1,2,6,3,10,10,0,4.0,4.0,90,1,1,1,Không cảnh báo,Thấp,0,0
2126,385,1,2,6,4,11,11,0,3.18,3.57,91,3,1,1,Không cảnh báo,Thấp,0,0
2127,385,1,2,6,5,11,11,0,3.09,3.41,76,3,3,1,Không cảnh báo,Thấp,0,0
2128,385,1,2,6,6,11,11,0,2.82,3.26,78,3,3,1,Không cảnh báo,Thấp,0,0
2129,385,1,2,6,7,11,11,0,3.0,3.2,77,3,3,1,Không cảnh báo,Thấp,0,0
2130,385,1,2,6,8,10,10,0,3.0,3.17,71,3,3,1,Không cảnh báo,Thấp,0,0
2131,386,1,2,6,3,10,10,0,3.0,3.0,93,3,1,1,Không cảnh báo,Thấp,0,0
2132,386,1,2,6,4,11,11,0,3.73,3.38,80,1,2,1,Không cảnh báo,Thấp,0,0
2133,386,1,2,6,5,11,11,0,2.18,2.97,73,4,3,1,Không cảnh báo,Thấp,0,0
2134,386,1,2,6,6,11,11,0,2.73,2.91,80,3,2,1,Không cảnh báo,Thấp,0,0
2135,386,1,2,6,7,11,9,2,2.73,2.87,69,3,3,1,Không cảnh báo,Trung bình,2,0
2136,386,1,2,6,8,10,10,0,3.0,2.89,76,3,3,1,Không cảnh báo,Thấp,2,0
2137,387,1,2,6,3,10,10,0,3.5,3.5,98,2,1,1,Không cảnh báo,Thấp,0,0
2138,387,1,2,6,4,11,11,0,3.64,3.57,85,1,2,1,Không cảnh báo,Thấp,0,0
2139,387,1,2,6,5,11,11,0,2.73,3.28,76,3,3,1,Không cảnh báo,Thấp,0,0
2140,387,1,2,6,6,11,11,0,2.0,2.95,61,4,4,1,Không cảnh báo,Trung bình,0,0
2141,387,1,2,6,7,11,11,0,3.0,2.96,80,3,2,1,Không cảnh báo,Thấp,0,0
2142,387,1,2,6,8,10,3,7,0.9,2.64,62,5,4,4,Cảnh báo nghiêm trọng,Cao,7,1
2143,388,1,2,6,3,10,10,0,3.5,3.5,90,2,1,1,Không cảnh báo,Thấp,0,0
2144,388,1,2,6,4,11,11,0,3.0,3.24,81,3,2,1,Không cảnh báo,Thấp,0,0
2145,388,1,2,6,5,11,11,0,2.91,3.12,79,3,3,1,Không cảnh báo,Thấp,0,0
2146,388,1,2,6,6,11,11,0,3.45,3.21,91,2,1,1,Không cảnh báo,Thấp,0,0
2147,388,1,2,6,7,11,9,2,2.45,3.06,75,4,3,1,Không cảnh báo,Thấp,2,0
2148,388,1,2,6,8,10,10,0,3.0,3.05,81,3,2,1,Không cảnh báo,Thấp,0,0
2149,389,1,2,6,3,10,10,0,2.8,2.8,82,3,2,1,Không cảnh báo,Thấp,0,0
2150,389,1,2,6,4,11,8,3,2.27,2.52,77,4,3,2,Cảnh báo nhẹ,Trung bình,3,1
2151,389,1,2,6,5,11,11,0,2.55,2.53,79,3,3,1,Không cảnh báo,Trung bình,3,0
2152,389,1,2,6,6,11,11,0,3.27,2.72,87,2,2,1,Không cảnh báo,Trung bình,3,0
2153,389,1,2,6,7,11,11,0,2.55,2.69,72,3,3,1,Không cảnh báo,Thấp,1,0
2154,389,1,2,6,8,10,10,0,2.8,2.7,73,3,3,1,Không cảnh báo,Thấp,1,0
2155,390,1,2,6,3,10,10,0,3.2,3.2,90,2,1,1,Không cảnh báo,Thấp,0,0
2156,390,1,2,6,4,11,8,3,2.0,2.57,86,4,2,2,Cảnh báo nhẹ,Trung bình,3,1
2157,390,1,2,6,5,11,11,0,3.27,2.81,81,2,2,1,Không cảnh báo,Thấp,1,0
2158,390,1,2,6,6,11,9,2,2.73,2.79,80,3,2,1,Không cảnh báo,Thấp,2,0
2159,390,1,2,6,7,11,11,0,3.0,2.83,77,3,3,1,Không cảnh báo,Thấp,0,0
2160,390,1,2,6,8,10,7,3,2.0,2.7,72,4,3,2,Cảnh báo nhẹ,Trung bình,3,1
2161,391,1,2,6,3,10,7,3,2.1,2.1,93,4,1,2,Cảnh báo nhẹ,Trung bình,3,1
2162,391,1,2,6,4,11,11,0,2.55,2.33,73,3,3,1,Không cảnh báo,Trung bình,3,0
2163,391,1,2,6,5,11,11,0,2.73,2.47,79,3,3,1,Không cảnh báo,Trung bình,0,0
2164,391,1,2,6,6,11,11,0,3.27,2.67,74,2,3,1,Không cảnh báo,Thấp,0,0
2165,391,1,2,6,7,11,11,0,3.27,2.8,81,2,2,1,Không cảnh báo,Thấp,0,0
2166,391,1,2,6,8,10,7,3,2.6,2.77,74,3,3,2,Cảnh báo nhẹ,Trung bình,3,1
2167,392,1,2,6,3,10,10,0,3.2,3.2,85,2,2,1,Không cảnh báo,Thấp,0,0
2168,392,1,2,6,4,11,11,0,3.0,3.1,71,3,3,1,Không cảnh báo,Thấp,0,0
2169,392,1,2,6,5,11,11,0,3.0,3.06,81,3,2,1,Không cảnh báo,Thấp,0,0
2170,392,1,2,6,6,11,11,0,2.73,2.98,77,3,3,1,Không cảnh báo,Thấp,0,0
2171,392,1,2,6,7,11,11,0,2.18,2.81,91,4,1,1,Không cảnh báo,Thấp,0,0
2172,392,1,2,6,8,10,10,0,2.3,2.73,94,4,1,1,Không cảnh báo,Thấp,0,0
2173,393,1,2,6,3,10,10,0,2.9,2.9,68,3,3,1,Không cảnh báo,Trung bình,0,0
2174,393,1,2,6,4,11,11,0,2.27,2.57,84,4,2,1,Không cảnh báo,Thấp,0,0
2175,393,1,2,6,5,11,5,6,1.27,2.12,64,5,4,4,Cảnh báo nghiêm trọng,Trung bình,6,1
2176,393,1,2,6,6,11,8,3,2.0,2.09,71,4,3,2,Cảnh báo nhẹ,Cao,6,2
2177,393,1,2,6,7,11,8,3,1.73,2.02,62,5,4,3,Cảnh báo trung bình,Cao,9,3
2178,393,1,2,6,8,10,10,0,2.8,2.14,74,3,3,1,Không cảnh báo,Cao,9,0
2179,394,1,2,6,3,10,10,0,2.8,2.8,73,3,3,1,Không cảnh báo,Thấp,0,0
2180,394,1,2,6,4,11,11,0,2.82,2.81,95,3,1,1,Không cảnh báo,Thấp,0,0
2181,394,1,2,6,5,11,8,3,1.73,2.44,88,5,2,3,Cảnh báo trung bình,Trung bình,3,1
2182,394,1,2,6,6,11,11,0,3.45,2.7,85,2,2,1,Không cảnh báo,Trung bình,3,0
2183,394,1,2,6,7,11,11,0,3.0,2.76,80,3,2,1,Không cảnh báo,Thấp,0,0
2184,394,1,2,6,8,10,10,0,3.3,2.84,79,2,3,1,Không cảnh báo,Thấp,0,0
2185,395,1,2,6,3,10,10,0,3.3,3.3,88,2,2,1,Không cảnh báo,Thấp,0,0
2186,395,1,2,6,4,11,11,0,3.45,3.38,81,2,2,1,Không cảnh báo,Thấp,0,0
2187,395,1,2,6,5,11,11,0,2.45,3.06,71,4,3,1,Không cảnh báo,Thấp,0,0
2188,395,1,2,6,6,11,11,0,3.27,3.12,91,2,1,1,Không cảnh báo,Thấp,0,0
2189,395,1,2,6,7,11,11,0,2.45,2.98,82,4,2,1,Không cảnh báo,Thấp,0,0
2190,395,1,2,6,8,10,10,0,2.5,2.91,62,3,4,1,Không cảnh báo,Trung bình,0,0
2191,396,1,2,6,3,10,10,0,2.9,2.9,68,3,3,1,Không cảnh báo,Trung bình,0,0
2192,396,1,2,6,4,11,9,2,1.91,2.38,76,5,3,2,Cảnh báo nhẹ,Trung bình,2,1
2193,396,1,2,6,5,11,11,0,2.45,2.41,74,4,3,1,Không cảnh báo,Trung bình,2,0
2194,396,1,2,6,6,11,8,3,1.91,2.28,72,5,3,2,Cảnh báo nhẹ,Trung bình,5,1
2195,396,1,2,6,7,11,9,2,1.91,2.2,77,5,3,2,Cảnh báo nhẹ,Cao,5,2
2196,396,1,2,6,8,10,10,0,2.4,2.23,79,4,3,1,Không cảnh báo,Trung bình,2,0
2197,397,1,2,6,3,10,10,0,3.4,3.4,80,2,2,1,Không cảnh báo,Thấp,0,0
2198,397,1,2,6,4,11,11,0,3.0,3.19,86,3,2,1,Không cảnh báo,Thấp,0,0
2199,397,1,2,6,5,11,11,0,3.27,3.22,78,2,3,1,Không cảnh báo,Thấp,0,0
2200,397,1,2,6,6,11,11,0,2.27,2.98,77,4,3,1,Không cảnh báo,Thấp,0,0
2201,397,1,2,6,7,11,11,0,3.27,3.04,83,2,2,1,Không cảnh báo,Thấp,0,0
2202,397,1,2,6,8,10,10,0,3.3,3.08,82,2,2,1,Không cảnh báo,Thấp,0,0
2203,398,1,2,6,3,10,10,0,2.7,2.7,81,3,2,1,Không cảnh báo,Thấp,0,0
2204,398,1,2,6,4,11,11,0,3.55,3.14,89,2,2,1,Không cảnh báo,Thấp,0,0
2205,398,1,2,6,5,11,11,0,3.45,3.25,73,2,3,1,Không cảnh báo,Thấp,0,0
2206,398,1,2,6,6,11,11,0,3.0,3.19,81,3,2,1,Không cảnh báo,Thấp,0,0
2207,398,1,2,6,7,11,6,5,1.36,2.81,79,5,3,4,Cảnh báo nghiêm trọng,Trung bình,5,1
2208,398,1,2,6,8,10,10,0,3.3,2.89,87,2,2,1,Không cảnh báo,Thấp,1,0
2209,399,1,2,6,3,10,10,0,3.1,3.1,82,3,2,1,Không cảnh báo,Thấp,0,0
2210,399,1,2,6,4,11,11,0,2.82,2.95,68,3,3,1,Không cảnh báo,Trung bình,0,0
2211,399,1,2,6,5,11,11,0,3.0,2.97,92,3,1,1,Không cảnh báo,Thấp,0,0
2212,399,1,2,6,6,11,8,3,2.36,2.81,75,4,3,2,Cảnh báo nhẹ,Trung bình,3,1
2213,399,1,2,6,7,11,11,0,3.55,2.96,95,2,1,1,Không cảnh báo,Thấp,1,0
2214,399,1,2,6,8,10,10,0,2.5,2.89,85,3,2,1,Không cảnh báo,Thấp,1,0
2215,400,1,2,6,3,10,10,0,2.7,2.7,92,3,1,1,Không cảnh báo,Thấp,0,0
2216,400,1,2,6,4,11,9,2,1.91,2.29,75,5,3,2,Cảnh báo nhẹ,Trung bình,2,1
2217,400,1,2,6,5,11,11,0,2.91,2.5,82,3,2,1,Không cảnh báo,Thấp,0,0
2218,400,1,2,6,6,11,11,0,3.0,2.63,83,3,2,1,Không cảnh báo,Thấp,0,0
2219,400,1,2,6,7,11,8,3,2.73,2.65,95,3,1,2,Cảnh báo nhẹ,Trung bình,3,1
2220,400,1,2,6,8,10,10,0,3.5,2.78,81,2,2,1,Không cảnh báo,Thấp,1,0
2221,401,1,2,6,3,10,10,0,3.0,3.0,83,3,2,1,Không cảnh báo,Thấp,0,0
2222,401,1,2,6,4,11,11,0,3.0,3.0,68,3,3,1,Không cảnh báo,Trung bình,0,0
2223,401,1,2,6,5,11,11,0,2.73,2.91,78,3,3,1,Không cảnh báo,Thấp,0,0
2224,401,1,2,6,6,11,11,0,3.27,3.0,81,2,2,1,Không cảnh báo,Thấp,0,0
2225,401,1,2,6,7,11,8,3,1.73,2.74,72,5,3,3,Cảnh báo trung bình,Trung bình,3,1
2226,401,1,2,6,8,10,10,0,2.8,2.75,67,3,3,1,Không cảnh báo,Trung bình,1,0
2227,402,1,2,6,3,10,10,0,2.8,2.8,81,3,2,1,Không cảnh báo,Thấp,0,0
2228,402,1,2,6,4,11,11,0,2.55,2.67,73,3,3,1,Không cảnh báo,Thấp,0,0
2229,402,1,2,6,5,11,11,0,3.27,2.88,87,2,2,1,Không cảnh báo,Thấp,0,0
2230,402,1,2,6,6,11,11,0,2.73,2.84,75,3,3,1,Không cảnh báo,Thấp,0,0
2231,402,1,2,6,7,11,11,0,3.18,2.91,71,3,3,1,Không cảnh báo,Thấp,0,0
2232,402,1,2,6,8,10,7,3,2.1,2.78,72,4,3,2,Cảnh báo nhẹ,Trung bình,3,1
2233,403,1,2,6,3,10,10,0,3.2,3.2,79,2,3,1,Không cảnh báo,Thấp,0,0
2234,403,1,2,6,4,11,11,0,3.09,3.14,91,3,1,1,Không cảnh báo,Thấp,0,0
2235,403,1,2,6,5,11,11,0,2.0,2.75,75,4,3,1,Không cảnh báo,Thấp,0,0
2236,403,1,2,6,6,11,11,0,3.18,2.86,82,3,2,1,Không cảnh báo,Thấp,0,0
2237,403,1,2,6,7,11,11,0,2.73,2.83,81,3,2,1,Không cảnh báo,Thấp,0,0
2238,403,1,2,6,8,10,5,5,1.5,2.62,69,5,3,3,Cảnh báo trung bình,Trung bình,5,1
2239,404,1,2,6,3,10,10,0,3.2,3.2,86,2,2,1,Không cảnh báo,Thấp,0,0
2240,404,1,2,6,4,11,11,0,3.09,3.14,78,3,3,1,Không cảnh báo,Thấp,0,0
2241,404,1,2,6,5,11,8,3,2.0,2.75,78,4,3,2,Cảnh báo nhẹ,Trung bình,3,1
2242,404,1,2,6,6,11,11,0,2.73,2.74,83,3,2,1,Không cảnh báo,Trung bình,3,0
2243,404,1,2,6,7,11,11,0,3.27,2.85,82,2,2,1,Không cảnh báo,Thấp,1,0
2244,404,1,2,6,8,10,10,0,2.7,2.83,79,3,3,1,Không cảnh báo,Thấp,0,0
2245,405,1,2,6,3,10,10,0,3.0,3.0,89,3,2,1,Không cảnh báo,Thấp,0,0
2246,405,1,2,6,4,11,8,3,1.45,2.19,73,5,3,4,Cảnh báo nghiêm trọng,Trung bình,3,1
2247,405,1,2,6,5,11,11,0,3.55,2.66,88,2,2,1,Không cảnh báo,Thấp,0,0
2248,405,1,2,6,6,11,11,0,2.91,2.72,86,3,2,1,Không cảnh báo,Thấp,0,0
2249,405,1,2,6,7,11,11,0,3.27,2.83,96,2,1,1,Không cảnh báo,Thấp,0,0
2250,405,1,2,6,8,10,5,5,1.7,2.66,69,5,3,3,Cảnh báo trung bình,Trung bình,5,1
2251,406,1,2,6,3,10,10,0,3.0,3.0,72,3,3,1,Không cảnh báo,Thấp,0,0
2252,406,1,2,6,4,11,11,0,2.64,2.81,90,3,1,1,Không cảnh báo,Thấp,0,0
2253,406,1,2,6,5,11,11,0,3.09,2.91,71,3,3,1,Không cảnh báo,Thấp,0,0
2254,406,1,2,6,6,11,8,3,2.18,2.72,67,4,3,2,Cảnh báo nhẹ,Trung bình,3,1
2255,406,1,2,6,7,11,11,0,3.0,2.78,78,3,3,1,Không cảnh báo,Trung bình,3,0
2256,406,1,2,6,8,10,10,0,2.3,2.7,70,4,3,1,Không cảnh báo,Trung bình,3,0
2257,407,1,2,6,3,10,7,3,2.2,2.2,69,4,3,2,Cảnh báo nhẹ,Trung bình,3,1
2258,407,1,2,6,4,11,11,0,2.82,2.52,80,3,2,1,Không cảnh báo,Thấp,1,0
2259,407,1,2,6,5,11,11,0,2.82,2.62,80,3,2,1,Không cảnh báo,Thấp,0,0
2260,407,1,2,6,6,11,11,0,3.27,2.79,83,2,2,1,Không cảnh báo,Thấp,0,0
2261,407,1,2,6,7,11,11,0,2.55,2.74,83,3,2,1,Không cảnh báo,Thấp,0,0
2262,407,1,2,6,8,10,10,0,2.7,2.73,62,3,4,1,Không cảnh báo,Trung bình,0,0
2263,408,1,2,6,3,10,10,0,3.2,3.2,78,2,3,1,Không cảnh báo,Thấp,0,0
2264,408,1,2,6,4,11,11,0,3.27,3.24,78,2,3,1,Không cảnh báo,Thấp,0,0
2265,408,1,2,6,5,11,11,0,3.55,3.34,86,2,2,1,Không cảnh báo,Thấp,0,0
2266,408,1,2,6,6,11,11,0,2.55,3.14,72,3,3,1,Không cảnh báo,Thấp,0,0
2267,408,1,2,6,7,11,11,0,2.82,3.07,83,3,2,1,Không cảnh báo,Thấp,0,0
2268,408,1,2,6,8,10,10,0,3.2,3.09,75,2,3,1,Không cảnh báo,Thấp,0,0
2269,409,1,2,6,3,10,10,0,3.5,3.5,70,2,3,1,Không cảnh báo,Thấp,0,0
2270,409,1,2,6,4,11,11,0,3.45,3.48,92,2,1,1,Không cảnh báo,Thấp,0,0
2271,409,1,2,6,5,11,11,0,3.27,3.41,76,2,3,1,Không cảnh báo,Thấp,0,0
2272,409,1,2,6,6,11,6,5,1.36,2.88,60,5,4,4,Cảnh báo nghiêm trọng,Trung bình,5,1
2273,409,1,2,6,7,11,8,3,1.91,2.69,77,5,3,2,Cảnh báo nhẹ,Cao,6,2
2274,409,1,2,6,8,10,10,0,3.5,2.81,74,2,3,1,Không cảnh báo,Trung bình,6,0
2275,410,1,2,6,3,10,10,0,3.5,3.5,99,2,1,1,Không cảnh báo,Thấp,0,0
2276,410,1,2,6,4,11,11,0,2.55,3.0,81,3,2,1,Không cảnh báo,Thấp,0,0
2277,410,1,2,6,5,11,11,0,3.0,3.0,77,3,3,1,Không cảnh báo,Thấp,0,0
2278,410,1,2,6,6,11,11,0,2.36,2.84,68,4,3,1,Không cảnh báo,Trung bình,0,0
2279,410,1,2,6,7,11,11,0,2.73,2.81,88,3,2,1,Không cảnh báo,Thấp,0,0
2280,410,1,2,6,8,10,8,2,2.4,2.75,79,4,3,1,Không cảnh báo,Thấp,2,0
2281,411,1,2,6,3,10,10,0,3.0,3.0,77,3,3,1,Không cảnh báo,Thấp,0,0
2282,411,1,2,6,4,11,8,3,1.73,2.33,78,5,3,3,Cảnh báo trung bình,Trung bình,3,1
2283,411,1,2,6,5,11,11,0,3.0,2.56,75,3,3,1,Không cảnh báo,Thấp,1,0
2284,411,1,2,6,6,11,11,0,3.09,2.7,82,3,2,1,Không cảnh báo,Thấp,1,0
2285,411,1,2,6,7,11,11,0,2.45,2.65,70,4,3,1,Không cảnh báo,Thấp,0,0
2286,411,1,2,6,8,10,10,0,3.0,2.7,85,3,2,1,Không cảnh báo,Thấp,0,0
2287,412,1,2,6,3,10,8,2,1.9,1.9,93,5,1,2,Cảnh báo nhẹ,Cao,2,1
2288,412,1,2,6,4,11,11,0,2.82,2.38,84,3,2,1,Không cảnh báo,Trung bình,2,0
2289,412,1,2,6,5,11,11,0,3.27,2.69,90,2,1,1,Không cảnh báo,Thấp,0,0
2290,412,1,2,6,6,11,11,0,2.55,2.65,80,3,2,1,Không cảnh báo,Thấp,0,0
2291,412,1,2,6,7,11,11,0,3.27,2.78,85,2,2,1,Không cảnh báo,Thấp,0,0
2292,412,1,2,6,8,10,8,2,1.9,2.64,65,5,3,2,Cảnh báo nhẹ,Trung bình,2,1
2293,413,1,2,6,3,10,10,0,3.2,3.2,86,2,2,1,Không cảnh báo,Thấp,0,0
